review_title,hotel_name,avg_rating,nationality,rating,review_text,year,month,season,residence_type,trip_type,traveller_type,stay_length,label
Very poor,Van der Valk Hotel Antwerpen,8.4,Belgium,1.0,There are no comments available for this review,2021,April,Spring,suite,leisure trip,couple,1,0
Pleasant with friendly staff.,Novotel Brussels City Centre,8.5,Netherlands,10.0,"The ONLY place in front of the hotel to drop off luggage and persons was permanently taken during our stay.,This hotel needs a doorman! So if you come by car with a lot of luggage it is a bit tricky!,

Excellent room",2019,March,Spring,double,leisure trip,group,1,1
Good,Hostel Bruegel,8.4,Brazil,7.5,"Nothing. Everything was good. ,

Is cheap and well located. Good staff. Nice room.",2019,July,Summer,double,leisure trip,people with friends,1,1
Free shuttlebus from the airport,Thon Hotel Brussels Airport,7.7,Luxembourg,7.9,10 min drive from the airpory with free shuttlebus,2019,May,Spring,double,leisure trip,couple,1,1
Very good,B-aparthotel Ambiorix,7.7,United Kingdom,8.0,The air on/heating we couldn’t work it out made the room a little too hot,2019,December,Winter,apartment,leisure trip,group,2,1
"good location, easy to get in and out, everything as expected and informed",EuroCitadin,8.7,Thailand,8.0,"nothing to say,

breakfast was great, room super clean and everything as expected",2020,February,Winter,single,business trip,solo traveller,1,1
Very good,Hotel Monsieur Ernest,8.6,Costa Rica,8.3,There are no comments available for this review,2018,August,Summer,double,leisure trip,couple,1,1
A little gem,Flandria Hotel,7.6,Australia,10.0,"The staff were very good.  Could leave my bag before check in.  Was immediately offered maps and tour brochures.
Had a single roim, shared bathroom.  The bathroom was spotless.
Breakfast was quite good.
Room was cozy, bed was comfy and warm.
Location was very good, quite close to the city main areas for tourists.",2018,November,Autumn,single,leisure trip,solo traveller,1,1
Exceptional,City Center Sainte-Catherine Grand Place,9.3,Finland,9.6,There are no comments available for this review,2019,February,Winter,apartment,business trip,group,3,1
Exceptional,Luttelkolen,9.3,Netherlands,10.0,Alles was prima in orde! top!,2018,October,Autumn,apartment,business trip,solo traveller,1,1
Exceptional,NH Brussels EU Berlaymont,8.5,Italy,9.6,"Really convenient location for trips to the European Commission. Couple minutes walk from Schubert metro station. Rooms are modern, clean, spacious. Perfect for short business stay. Would definitely book again in the future.",2018,September,Autumn,single,business trip,solo traveller,1,1
Exceptional,Boetiekhotel Hemelhuys,9.2,France,10.0,"There was nothing I didn't like!,

Lovely little hotel right in centre of Hasselt. Friendly staff and nice breakfast",2019,October,Autumn,double,business trip,solo traveller,1,1
Pleasant,nhow Brussels Bloom,8.3,United Kingdom,6.7,"Breakfast is ridiculously expensive,

Clean and well approinted room",2018,November,Autumn,double,business trip,solo traveller,3,0
Perfect.,Motel One Brussels,8.9,Netherlands,10.0,Nice lounge!,2019,March,Spring,double,business trip,solo traveller,1,1
Exceptional,Snuffel Hostel,8.8,Brazil,9.6,The hostel is very good. The common spaces are very good. Breakfast has lots of goodies. I found the price very fair.,2019,January,Winter,dormitory,leisure trip,group,1,1
Superb,The Plaza Hotel Antwerp,8.4,United Kingdom,9.2,There are no comments available for this review,2019,May,Spring,double,leisure trip,couple,2,1
Good,"Hotel Indigo Antwerp City Centre, an IHG Hotel",8.7,Netherlands,7.1,There are no comments available for this review,2020,January,Winter,other,leisure trip,couple,4,1
Okay,Charmehotel Klokkenhof,8.3,Netherlands,5.8,"The room was not like the ones in the pictures. It was clean but quite old and small. The bathroom door was not closing. I find the rate too expensive for this room. It should be half. ,

The staff was very friendly and the bed quite comfortable.",2019,May,Spring,twin,leisure trip,couple,1,0
Very good,Relais de L'Empereur,8.8,Croatia,8.3,"Water pressure in rooms and concierge could be a little more informed,

Great big clean rooms, nice breakfast with a beautiful view.",2019,October,Autumn,double,business trip,solo traveller,3,1
Fabulous,NH Brussels EU Berlaymont,8.5,Belgium,8.8,Room service only till 22:00,2019,May,Spring,double,leisure trip,solo traveller,1,1
The hotel was very nice and was well located for walking to most areas of interest in Bruges.,Hotel 't Putje,8.0,Ireland,8.8,"Tea making facilities in the room would be nice.,

The  room was very comfortable.",2019,January,Winter,double,leisure trip,couple,2,1
Fabulous,Mercure Antwerp City South,7.9,Poland,8.8,"Other people hair in the bathroom. i get that it's not easy to get rid of them all so only one point taken for it. Expensive car parking. But a free one near by only 4 mins walking,,

Great bed and pillows. Friendly staff.",2018,December,Winter,other,leisure trip,couple,1,1
Fabulous,Institute Of Cultural Affairs,8.7,Germany,8.8,There are no comments available for this review,2018,December,Winter,single,business trip,solo traveller,2,1
Do not stay at this hotel.,Golden Tree Hotel,8.2,United Kingdom,4.6,"The room had a terrible smell of drains and the air conditioning did not work. We reported this to the receptionist. She said it was the first they had had this reported. However after reading reviews from this hotel it appears that you’re a few customers had complained. It was a known problem for the hotel. We were only offered a glass of fizz to say sorry as they could not move us. Our room smelt badly we had to sleep with the window open on a ground floor which was very noisy. Our room was in an annex away from the hotel. The air conditioning did not work. We had a very unpleasant stay and would not recommend this hotel to anyone. I believe a glass of fizz was a pathetic apology.,

Location",2019,April,Spring,triple,leisure trip,couple,1,0
Passable,Tourist Hotel,8.3,United States,5.0,"Breakfast.,

Room was relative to the cost.  Close to where I worked.",2019,December,Winter,twin,business trip,solo traveller,4,0
great stay stylish  hotel,Motel One Brussels,8.9,United States,9.0,"nothing,

the check-in, room, comfort level. The access to the hotel was near the center.",2020,February,Winter,double,leisure trip,group,2,1
